키,샅높이,몸무게
185.5,83.8,73.2
167.2,74.4,65.1
179.9,84.2,93.2
171.4,76.4,71.6
176.9,79.7,67.1
180.5,79.7,114.2
180.4,83.0,76.5
173.9,76.5,53.0
178.7,83.8,69.7
180.5,79.7,114.2
173.1,80.6,95.3
178.5,78.4,78.7
172.6,75.4,58.6
170.7,75.3,66.7
175.0,78.9,77.8
175.8,77.6,77.8
182.9,86.0,80.4
169.3,74.7,54.6
177.4,78.6,69.0
168.3,74.3,59.1
173.4,80.2,63.8
173.2,76.1,74.6
180.1,84.1,90.4
172.4,75.9,67.8
186.8,88.0,103.3
175.6,77.1,68.1
176.3,82.7,80.6
180.7,79.6,69.0
175.3,80.3,59.2
177.7,78.2,55.5
171.7,76.3,65.1
178.9,79.0,78.0
184.1,83.3,75.0
173.9,76.9,66.7
185.1,83.6,83.2
172.2,75.6,70.1
179.3,79.1,69.8
179.3,79.0,65.2
176.8,82.8,75.3
178.5,78.6,68.8
178.7,83.8,69.7
178.1,78.6,66.1
169.2,75.7,75.8
168.6,74.3,66.5
179.9,82.6,65.1
179.1,79.2,88.4
178.9,81.9,58.8
174.5,77.0,53.1
168.5,74.0,49.5
169.2,74.6,102.4
167.2,75.3,76.8
171.7,75.7,62.7
175.3,79.7,85.0
173.6,76.5,79.0
169.5,75.4,57.7
182.4,80.3,76.8
174.4,77.0,83.3
176.5,77.9,72.9
179.7,79.3,66.2
175.8,77.6,67.4
181.5,82.6,70.9
175.7,77.6,72.2
174.3,81.0,75.7
177.8,78.2,85.1
184.1,89.5,65.1
174.5,77.1,61.9
179.7,81.8,68.5
169.8,74.8,62.9
179.4,80.5,60.5
175.0,77.2,55.0
171.0,79.1,64.9
171.0,75.2,63.9
182.9,86.0,80.4
163.1,71.9,62.5
168.0,74.2,57.9
174.2,76.9,64.1
175.7,81.7,84.4
175.0,77.0,103.5
176.0,82.0,78.9
181.8,80.0,77.3
172.5,75.8,67.6
178.1,78.6,59.8
183.0,81.2,71.8
178.7,78.5,60.6
181.6,81.3,74.4
180.2,79.4,66.9
175.0,76.5,75.0
166.3,73.4,60.6
178.4,77.9,62.6
170.4,75.2,65.7
176.7,82.2,62.5
163.6,72.2,43.3
182.4,81.2,68.2
172.3,76.1,61.8
168.4,74.5,57.6
